,x,y,z,mae
188,ETH-BTC,ETH-GBP,3,0.4364242341344705
189,ETH-BTC,ETH-GBP,4,0.43668918548541247
190,ETH-BTC,ETH-GBP,5,0.39595953539021533
191,ETH-BTC,ETH-GBP,6,0.3930609992499967
192,ETH-BTC,REP-BTC,1,0.784421210689161
193,ETH-BTC,REP-BTC,2,0.6842219839675501
194,ETH-BTC,REP-BTC,3,0.47045372267357655
195,ETH-BTC,REP-BTC,4,0.4726583569308652
196,ETH-BTC,REP-BTC,5,0.4464637074541871
197,ETH-BTC,REP-BTC,6,0.4493762383339183
198,ETH-BTC,REP-ETH,1,0.8030397122573444
199,ETH-BTC,REP-ETH,2,0.6716361281091814
200,ETH-BTC,REP-ETH,3,0.3241603451781035
201,ETH-BTC,REP-ETH,4,0.31326327641399826
202,ETH-BTC,REP-ETH,5,0.30241425120381593
203,ETH-BTC,REP-ETH,6,0.30493472489653767
204,ETH-BTC,REP-GBP,1,0.7675255657092341
205,ETH-BTC,REP-GBP,2,0.758767908754008
206,ETH-BTC,REP-GBP,3,0.7632379699627374
207,ETH-BTC,REP-GBP,4,0.7505725819938356
208,ETH-BTC,REP-GBP,5,0.7423912724815845
209,ETH-BTC,REP-GBP,6,0.7310957251020305
210,ETH-BTC,XLM-BTC,1,0.7885608502732099
211,ETH-BTC,XLM-BTC,2,0.7873897001772319
212,ETH-BTC,XLM-BTC,3,0.7143490500078751
213,ETH-BTC,XLM-BTC,4,0.7174672545612715
214,ETH-BTC,XLM-BTC,5,0.6707434746006813
215,ETH-BTC,XLM-BTC,6,0.6680449504624061
216,ETH-BTC,XLM-ETH,1,0.8885027943917576
217,ETH-BTC,XLM-ETH,2,0.7863851874228097
218,ETH-BTC,XLM-ETH,3,0.36683395551873016
219,ETH-BTC,XLM-ETH,4,0.3669651518351295
220,ETH-BTC,XLM-ETH,5,0.3097427268374957
221,ETH-BTC,XLM-ETH,6,0.310295202346419
222,ETH-BTC,XLM-GBP,1,0.8315536250137958
223,ETH-BTC,XLM-GBP,2,0.783344910153983
224,ETH-BTC,XLM-GBP,3,0.6985382345425817
225,ETH-BTC,XLM-GBP,4,0.7015876411412484
226,ETH-BTC,XLM-GBP,5,0.7000807135627072
227,ETH-BTC,XLM-GBP,6,0.6843486945891564
228,ETH-BTC,SOL-BTC,1,0.8692041018747748
229,ETH-BTC,SOL-BTC,2,0.8576751515115022
230,ETH-BTC,SOL-BTC,3,0.4613517846582447
231,ETH-BTC,SOL-BTC,4,0.4511763469065452
232,ETH-BTC,SOL-BTC,5,0.3721765226393104
233,ETH-BTC,SOL-BTC,6,0.3801693763557318
234,ETH-BTC,SOL-ETH,1,0.8739820779228039
235,ETH-BTC,SOL-ETH,2,0.8469664807307791
236,ETH-BTC,SOL-ETH,3,0.49928130142448207
237,ETH-BTC,SOL-ETH,4,0.491616324096475
238,ETH-BTC,SOL-ETH,5,0.42378829865818013
239,ETH-BTC,SOL-ETH,6,0.4278334507890697
240,ETH-BTC,SOL-GBP,1,0.8014850181514421
241,ETH-BTC,SOL-GBP,2,0.8015226648695619
242,ETH-BTC,SOL-GBP,3,0.4816371880715745
243,ETH-BTC,SOL-GBP,4,0.4798905977423893
244,ETH-BTC,SOL-GBP,5,0.4223313994350835
245,ETH-BTC,SOL-GBP,6,0.43634870946398335
246,ETH-BTC,0,1,2.487427455734083
247,ETH-BTC,0,2,2.330508390655844
248,ETH-BTC,0,3,0.9952473003030364
249,ETH-BTC,0,4,0.9923752034241539
250,ETH-BTC,0,5,0.8845432230360697
251,ETH-BTC,0,6,0.8843393624779395
252,ETH-BTC,1,1,1.289312761673602
253,ETH-BTC,1,2,1.2602259473452087
254,ETH-BTC,1,3,1.2683056452435857
255,ETH-BTC,1,4,1.2456952985255385
256,ETH-BTC,1,5,1.2234619785186347
257,ETH-BTC,1,6,1.204561984537371
258,ETH-BTC,2,1,0.8656708129135496
259,ETH-BTC,2,2,0.7320751205165795
260,ETH-BTC,2,3,0.7316221238659296
261,ETH-BTC,2,4,0.7234150980123825
262,ETH-BTC,2,5,0.7205312281007376
263,ETH-BTC,2,6,0.7234190811813139
264,ETH-BTC,3,1,0.5524549432468078
265,ETH-BTC,3,2,0.548064229387879
266,ETH-BTC,3,3,0.5353518307156729
267,ETH-BTC,3,4,0.5353952816045262
268,ETH-BTC,3,5,0.5358651972874593
269,ETH-BTC,3,6,0.5344721448747406
270,ETH-GBP,REP-BTC,1,0.784421210689161
271,ETH-GBP,REP-BTC,2,0.6710636501385988
272,ETH-GBP,REP-BTC,3,0.37542379088345845
273,ETH-GBP,REP-BTC,4,0.35284938628399154
274,ETH-GBP,REP-BTC,5,0.34717291310640797
275,ETH-GBP,REP-BTC,6,0.3472740420618716
276,ETH-GBP,REP-ETH,1,0.8030397122573444
277,ETH-GBP,REP-ETH,2,0.6845168530774616
278,ETH-GBP,REP-ETH,3,0.3037194556580186
279,ETH-GBP,REP-ETH,4,0.25298647903084237
280,ETH-GBP,REP-ETH,5,0.23759158266089267
281,ETH-GBP,REP-ETH,6,0.2322164150664871
282,ETH-GBP,REP-GBP,1,0.7675255657092341
283,ETH-GBP,REP-GBP,2,0.7612450496858408
284,ETH-GBP,REP-GBP,3,0.7219160765007371
285,ETH-GBP,REP-GBP,4,0.7193687220217211
286,ETH-GBP,REP-GBP,5,0.7199250320001783
287,ETH-GBP,REP-GBP,6,0.7190969113842082
288,ETH-GBP,XLM-BTC,1,0.7885608502732099
289,ETH-GBP,XLM-BTC,2,0.7926004001593567
290,ETH-GBP,XLM-BTC,3,0.7487088345502075
291,ETH-GBP,XLM-BTC,4,0.7481529490757962
292,ETH-GBP,XLM-BTC,5,0.7484672654059785
293,ETH-GBP,XLM-BTC,6,0.7515931870667296
294,ETH-GBP,XLM-ETH,1,0.8885027943917576
295,ETH-GBP,XLM-ETH,2,0.8507235852792375
296,ETH-GBP,XLM-ETH,3,0.5196310460044654
297,ETH-GBP,XLM-ETH,4,0.4733190645191396
298,ETH-GBP,XLM-ETH,5,0.4686571005593418
299,ETH-GBP,XLM-ETH,6,0.46845952902272964
300,ETH-GBP,XLM-GBP,1,0.8315536250137958
301,ETH-GBP,XLM-GBP,2,0.8313992821104974
302,ETH-GBP,XLM-GBP,3,0.5320847570392414
303,ETH-GBP,XLM-GBP,4,0.529746964298393
304,ETH-GBP,XLM-GBP,5,0.5241418312325506
305,ETH-GBP,XLM-GBP,6,0.521692675279583
306,ETH-GBP,SOL-BTC,1,0.8692041018747748
307,ETH-GBP,SOL-BTC,2,0.8723653933189783
